x,y,time,wildfires_sum
177000.0,392000.0,2018-07-01,1.0
177000.0,414000.0,2018-07-01,1.0
179000.0,384000.0,2018-07-01,1.0
179000.0,390000.0,2018-07-01,1.0
179000.0,408000.0,2018-07-01,1.0
179000.0,486000.0,2018-07-01,1.0
181000.0,392000.0,2018-07-01,4.0
183000.0,330000.0,2018-07-01,1.0
183000.0,394000.0,2018-07-01,3.0
183000.0,404000.0,2018-07-01,1.0
185000.0,380000.0,2018-07-01,1.0
187000.0,338000.0,2018-07-01,1.0
187000.0,364000.0,2018-07-01,1.0
187000.0,400000.0,2018-07-01,1.0
189000.0,448000.0,2018-07-01,1.0
189000.0,466000.0,2018-07-01,1.0
191000.0,400000.0,2018-07-01,1.0
191000.0,550000.0,2018-07-01,1.0
193000.0,356000.0,2018-07-01,1.0
193000.0,364000.0,2018-07-01,1.0
193000.0,472000.0,2018-07-01,1.0
195000.0,326000.0,2018-07-01,1.0
197000.0,324000.0,2018-07-01,1.0
197000.0,460000.0,2018-07-01,1.0
197000.0,462000.0,2018-07-01,1.0
197000.0,540000.0,2018-07-01,1.0
199000.0,392000.0,2018-07-01,1.0
199000.0,488000.0,2018-07-01,1.0
201000.0,348000.0,2018-07-01,1.0
203000.0,352000.0,2018-07-01,1.0
203000.0,396000.0,2018-07-01,1.0
203000.0,460000.0,2018-07-01,1.0
205000.0,396000.0,2018-07-01,3.0
205000.0,542000.0,2018-07-01,1.0
207000.0,372000.0,2018-07-01,1.0
209000.0,446000.0,2018-07-01,1.0
211000.0,542000.0,2018-07-01,1.0
211000.0,546000.0,2018-07-01,1.0
213000.0,472000.0,2018-07-01,1.0
217000.0,496000.0,2018-07-01,2.0
219000.0,456000.0,2018-07-01,1.0
219000.0,556000.0,2018-07-01,1.0
225000.0,482000.0,2018-07-01,1.0
231000.0,496000.0,2018-07-01,1.0
247000.0,444000.0,2018-07-01,1.0
249000.0,478000.0,2018-07-01,1.0
255000.0,528000.0,2018-07-01,1.0
25000.0,386000.0,2018-07-11,1.0
25000.0,388000.0,2018-07-11,1.0
35000.0,400000.0,2018-07-11,1.0
39000.0,390000.0,2018-07-11,1.0
55000.0,426000.0,2018-07-11,1.0
59000.0,426000.0,2018-07-11,1.0
73000.0,372000.0,2018-07-11,1.0
75000.0,410000.0,2018-07-11,1.0
81000.0,410000.0,2018-07-11,1.0
89000.0,402000.0,2018-07-11,1.0
91000.0,474000.0,2018-07-11,1.0
95000.0,398000.0,2018-07-11,1.0
97000.0,490000.0,2018-07-11,1.0
99000.0,398000.0,2018-07-11,1.0
103000.0,504000.0,2018-07-11,1.0
103000.0,508000.0,2018-07-11,1.0
107000.0,520000.0,2018-07-11,1.0
113000.0,380000.0,2018-07-11,1.0
115000.0,404000.0,2018-07-11,2.0
119000.0,398000.0,2018-07-11,1.0
119000.0,572000.0,2018-07-11,1.0
119000.0,576000.0,2018-07-11,2.0
129000.0,398000.0,2018-07-11,1.0
133000.0,390000.0,2018-07-11,1.0
135000.0,394000.0,2018-07-11,1.0
135000.0,404000.0,2018-07-11,1.0
139000.0,374000.0,2018-07-11,1.0
139000.0,466000.0,2018-07-11,1.0
139000.0,474000.0,2018-07-11,1.0
141000.0,472000.0,2018-07-11,1.0
143000.0,454000.0,2018-07-11,1.0
143000.0,470000.0,2018-07-11,1.0
145000.0,370000.0,2018-07-11,1.0
145000.0,456000.0,2018-07-11,2.0
145000.0,460000.0,2018-07-11,1.0
